attack_id,strike_id,date,avg_total,avg_civcas,avg_children,avg_injured
TOT244,PAKOB174,2010-12-17,32,2,0,0
TOT245,PAKOB175,2010-12-27,20,0,0,0
TOT246,PAKOB176,2010-12-27,4,0,0,0
TOT247,PAKOB177,2010-12-28,6,0,0,2
TOT248,PAKOB178,2010-12-28,8.5,3,0,3
TOT249,PAKOB179,2010-12-28,9.5,0,0,6
TOT250,PAKOB180,2010-12-31,6,0,0,0
TOT251,PAKOB181,2011-01-01,9,0,0,0
TOT252,PAKOB182,2011-01-01,5,0,0,0
TOT253,PAKOB183,2011-01-01,4.5,0,0,0
TOT254,PAKOB184,2011-01-01,4,0,0,4
TOT255,PAKOB185,2011-01-07,3.5,0,0,0
TOT256,PAKOB186,2011-01-12,4.5,0,0,8.5
TOT257,PAKOB187,2011-01-18,5,0,0,3
TOT258,PAKOB188,2011-01-23,3.5,0,0,0
TOT259,PAKOB189,2011-01-23,2.5,0,0,0
TOT260,PAKOB190,2011-01-23,5,0,0,3
TOT261,PAKOB191,2011-02-20,7,0,0,2
TOT262,PAKOB192,2011-02-21,10.5,5.5,0,10
TOT263,PAKOB193,2011-02-24,5.5,0,0,2.5
TOT264,PAKOB194,2011-03-08,3.5,2.5,0,2
TOT265,PAKOB195,2011-03-09,5,0,0,2.5
TOT266,PAKOB196,2011-03-11,8,5,0,0
TOT267,PAKOB197,2011-03-11,4,0,0,0
TOT268,PAKOB198,2011-03-13,2,0,0,2.5
TOT269,PAKOB199,2011-03-13,5.5,0,0,5
TOT270,PAKOB200,2011-03-14,4.5,0,0,0
TOT271,PAKOB201,2011-03-16,4,0,0,0
TOT272,PAKOB202,2011-03-17,34,30,0.5,11.5
TOT273,SOM009,2011-04-03,18.5,0,0,0
TOT274,PAKOB203,2011-04-13,5.5,3.5,0,8
TOT275,PAKOB204,2011-04-22,23,7,4,7.5
TOT276,YEM012,2011-05-05,2,0,0,0
TOT277,PAKOB205,2011-05-06,12.5,6,0,4
TOT278,PAKOB206,2011-05-10,4,0,0,4
TOT279,PAKOB207,2011-05-12,6.5,0,0,1
TOT280,PAKOB208,2011-05-13,4,0,0,0
TOT281,PAKOB209,2011-05-16,7,0,0,3
TOT282,PAKOB210,2011-05-16,4.5,0,0,0
TOT283,PAKOB211,2011-05-20,5,0,0,0
TOT284,PAKOB212,2011-05-23,5.5,0,0,2
TOT285,YEM013,2011-06-03,7,4,0,0
TOT286,PAKOB213,2011-06-03,8.5,0,0,2
TOT287,PAKOB214,2011-06-06,8,0,0,2
TOT288,PAKOB215,2011-06-06,9,3.5,0,3
TOT289,PAKOB216,2011-06-06,4,0,0,0
TOT290,PAKOB217,2011-06-08,20.5,0,0,6
TOT291,PAKOB218,2011-06-08,4,0,0,0
TOT292,YEM014,2011-06-10,1,0,0,0
TOT293,YEM015,2011-06-10,2.5,2.5,1,0.5
TOT294,PAKOB219,2011-06-15,6,0,0,2
TOT295,PAKOB220,2011-06-15,0,0,0,0
TOT296,PAKOB221,2011-06-15,5.5,5.5,0,0
TOT297,YEM016,2011-06-18,0,0,0,6
TOT298,PAKOB222,2011-06-20,6,4.5,0,1.5
TOT299,PAKOB223,2011-06-20,3.5,0,0,0
TOT300,SOM010,2011-06-23,2,0,0,2.5
TOT301,PAKOB224,2011-06-27,9,0,0,0
TOT302,PAKOB225,2011-06-27,16.5,10,0,2
TOT303,PAKOB226,2011-07-05,5,1.5,1,5
TOT304,SOM011,2011-07-06,0,0,0,0
TOT305,PAKOB227,2011-07-11,8,0,0,2
TOT306,PAKOB228,2011-07-12,18.5,0,0,0
TOT307,PAKOB229,2011-07-12,9,0,0,4
TOT308,PAKOB230,2011-07-12,14,2,0,0
TOT309,PAKOB231,2011-07-12,5,1,0,4
TOT310,YEM017,2011-07-14,28,30,0,0
TOT311,YEM018,2011-07-14,0,0,0,0
TOT312,PAKOB232,2011-07-20,4,0,0,2
TOT313,YEM019,2011-07-27,5,0,0,0
TOT314,YEM020,2011-08-01,14.5,0,0,14.5
TOT315,PAKOB233,2011-08-01,4.5,3,0,4.5
TOT316,PAKOB234,2011-08-02,3.5,0,0,0
TOT317,PAKOB235,2011-08-10,16.5,0,0,5.5
TOT318,PAKOB236,2011-08-16,4.5,3.5,1,2
TOT319,PAKOB237,2011-08-19,3.5,0,0,2
TOT320,PAKOB238,2011-08-22,5,2,0,3
TOT321,YEM021,2011-08-24,30,0,0,40
TOT322,YEM022,2011-08-24,6,0,0,0
TOT323,YEM023,2011-08-25,8,0,0,3
TOT324,YEM024,2011-08-31,30,0,0,0
TOT325,YEM025,2011-09-05,5,5,0,4
TOT326,YEM026,2011-09-05,10,1,1,2
TOT327,YEM027,2011-09-05,6.5,0,0,13
TOT328,PAKOB239,2011-09-11,3,0,0,2
TOT329,YEM028,2011-09-21,4,0,0,0
TOT330,YEM029,2011-09-21,6.5,0,0,3
TOT331,PAKOB240,2011-09-23,5.5,0,0,3.5
TOT332,SOM012,2011-09-25,0,0,0,0
TOT333,PAKOB241,2011-09-27,2,0,0,1
TOT334,YEM030,2011-09-30,4,0,0,0
TOT335,PAKOB242,2011-09-30,3.5,0,0,3
TOT336,YEM031,2011-10-05,5,0,0,7
TOT337,PAKOB243,2011-10-13,3.5,0,0,4
TOT338,PAKOB244,2011-10-13,4.5,0,0,3
TOT339,YEM032,2011-10-14,0,0,0,0
TOT340,YEM033,2011-10-14,8,2,2,0
TOT341,YEM034,2011-10-14,16,0,0,0
TOT342,YEM035,2011-10-14,2,1.5,1,0
TOT343,PAKOB245,2011-10-14,4.5,0,0,0
TOT344,PAKOB246,2011-10-15,4.5,0,0,5
TOT345,PAKOB247,2011-10-26,17.5,0,0,6
TOT346,PAKOB248,2011-10-27,5,0,0,3.5
TOT347,PAKOB249,2011-10-27,5,0,0,3
TOT348,PAKOB250,2011-10-30,5,4,0,2.5
TOT349,PAKOB251,2011-10-31,3,2,2,3
TOT350,PAKOB252,2011-11-03,2.5,0,0,3
TOT351,SOM013,2011-11-14,1,0,0,0
TOT352,PAKOB253,2011-11-15,5,0,0,3
TOT353,PAKOB254,2011-11-16,13,0,0,9
TOT354,PAKOB255,2011-11-17,8,0,0,4
TOT355,YEM036,2011-12-22,1,0,0,0
TOT356,PAKOB256,2012-01-10,2.5,0,0,2
TOT357,PAKOB257,2012-01-12,7,0,0,2.5
TOT358,SOM014,2012-01-21,1,0,0,0
TOT359,PAKOB258,2012-01-23,3.5,0,0,2
TOT360,PAKOB259,2012-01-23,1,0,0,0
TOT361,YEM037,2012-01-31,12,0,0,0
TOT362,YEM038,2012-01-31,0,0,0,0
TOT363,PAKOB260,2012-02-08,9.5,0,0,7
TOT364,PAKOB261,2012-02-09,5.5,1.5,0.5,3
TOT365,PAKOB262,2012-02-16,5.5,0,0,5.5
TOT366,PAKOB263,2012-02-16,11.5,0,0,3
TOT367,SOM015,2012-02-24,5,0.5,0,0
TOT368,YEM039,2012-03-09,28.5,2,0,27.5
TOT369,PAKOB264,2012-03-09,9.5,0,0,1.5
TOT370,PAKOB265,2012-03-09,6,0,0,0
TOT371,YEM040,2012-03-10,24,0,0,0
